SVC_REQUEST_NUMBER,WORKORDER_NUMBER,WORKORDER_ACTIVITY_CODE,WORKORDER_ACTIVITY_DESCRIPTION,WORKORDER_STARTED,WORKORDER_COMPLETED,WORKORDER_ADDED,TIME_STAMP
860449,895401,SA25,REPAIR CONNECTION,,,2008-07-16T10:00:04.000,2019-07-07T00:45:01.000
168089,100322,SA27,PERFORM OTHER MANHOLE WORK,,,2004-06-01T13:20:07.000,2019-06-29T00:40:55.000
428803,843089280,WA10,RESET/REPLACE VALVE BOX,2019-06-10T08:20:00.000,2019-06-10T11:00:00.000,2006-04-08T23:03:19.000,2019-06-16T00:45:01.000
185634611,842762063,SA26,REPLACE MANHOLE CASTING,2020-02-25T00:45:00.000,2020-02-25T03:00:00.000,5555-09-03T09:13:14.000,2020-02-26T00:45:03.000
895478,842882322,SRL,LINE SEWER (CONTRACTOR),2020-11-29T00:00:00.000,2020-12-13T00:00:00.000,2018-04-23T13:47:23.000,2021-01-10T00:45:01.000
2011048,1780489,WHF,FLUSH HYDRANTS IN AREA,2020-02-17T17:41:00.000,2020-02-17T17:41:00.000,2012-12-02T13:48:23.000,2020-02-18T00:45:01.000
185673001,843073274,SVAC,VACTOR SEWER,2019-05-05T10:45:00.000,2019-05-05T11:45:00.000,2019-05-07T10:25:54.000,2019-05-08T00:45:09.000
185645826,843047233,SRB,REPAIR SEWER BREAK (CONTRACT.),2019-11-14T07:00:00.000,2019-11-17T15:00:00.000,2019-04-03T08:15:43.000,2019-11-24T00:45:08.000
1011746,1006805,SA25,REPAIR CONNECTION,,,2009-02-16T11:18:09.000,2019-07-07T00:45:01.000
185537818,843454743,SCC,CLEAN CATCH BASIN/INLET,2020-06-30T11:40:00.000,2020-06-30T12:45:00.000,2020-08-01T20:54:30.000,2020-08-02T00:45:02.000
185800990,842983717,SDHC,ISSUE DEFECTIVE HOUSE CONNECT.,2019-06-06T10:40:00.000,2019-06-06T11:00:00.000,2018-10-27T10:04:55.000,2019-06-12T00:45:08.000
185801511,843038013,SDHC,ISSUE DEFECTIVE HOUSE CONNECT.,2019-06-06T11:10:00.000,2019-06-06T11:30:00.000,2019-03-10T08:58:48.000,2019-06-12T00:45:08.000
2044719,1797043,SMDT,PERFORM DYE TEST,2012-12-27T19:45:00.000,2022-12-27T21:25:00.000,2012-12-27T23:03:12.000,2020-02-18T00:45:01.000
185582655,842694828,SSF,FLUSH SEWER SECTION,,2019-11-05T14:00:00.000,2017-05-13T14:15:17.000,2019-11-14T00:45:06.000
1065856,1066967,SA25,REPAIR CONNECTION,,,2009-06-17T13:14:09.000,2019-07-07T00:45:01.000
1069857,1062168,SA25,REPAIR CONNECTION,,,2009-06-07T15:57:39.000,2019-07-07T00:45:01.000
1600186,1504131,SA25,REPAIR CONNECTION,2019-07-01T17:00:00.000,2019-07-01T17:30:00.000,2011-09-24T15:50:21.000,2019-07-03T00:45:09.000
2046424,1804493,WHF,FLUSH HYDRANTS IN AREA,2020-02-17T17:43:00.000,2020-02-17T17:43:00.000,2013-01-14T09:22:01.000,2020-02-18T00:45:01.000
1257177,1172097,SA25,REPAIR CONNECTION,,,2009-12-29T12:32:33.000,2019-07-07T00:45:01.000
1391109,1271472,SA25,REPAIR CONNECTION,,,2010-08-09T08:24:12.000,2019-07-07T00:45:01.000
226714,134049,SA26,REPLACE MANHOLE CASTING,2019-07-11T08:00:00.000,2019-07-11T09:00:00.000,2004-11-07T10:16:04.000,2019-07-25T00:45:08.000
184854629,841858735,SA25,REPAIR CONNECTION,,,2013-07-17T11:44:18.000,2019-07-07T00:45:01.000
1174902,1119824,SRB,REPAIR SEWER BREAK (CONTRACT.),2019-09-01T00:00:00.000,2019-09-01T00:00:00.000,2009-09-07T16:07:02.000,2019-09-02T00:45:08.000
1664938,1468460,WA09,REPAIR VALVE- NOTE SIZE,2019-05-28T15:51:00.000,2019-05-28T15:51:00.000,2011-07-11T20:11:10.000,2019-05-29T00:45:03.000
184904740,841893646,SA25,REPAIR CONNECTION,,,2013-09-14T09:12:02.000,2019-07-07T00:45:01.000
1159332,1105472,SA25,REPAIR CONNECTION,2019-12-24T00:00:00.000,2019-12-24T00:00:00.000,2009-08-19T15:57:52.000,2020-01-05T00:45:02.000
1418011,1269531,SRB,REPAIR SEWER BREAK (CONTRACT.),,2019-07-14T17:31:00.000,2010-08-03T12:59:10.000,2019-07-15T00:45:06.000
430623,252588,WA09,REPAIR VALVE- NOTE SIZE,2019-09-10T00:00:00.000,2019-09-10T00:00:00.000,2006-05-05T17:07:11.000,2019-09-11T00:45:08.000
1448262,1304674,SRB,REPAIR SEWER BREAK (CONTRACT.),,2019-07-14T17:29:00.000,1-09-15T16:21:33.000,2019-07-15T00:45:06.000
280999,160597,WA10,RESET/REPLACE VALVE BOX,2005-04-24T12:30:00.000,2019-09-15T15:01:00.000,2005-03-27T16:46:05.000,2019-09-16T00:45:08.000
1799980,1565336,SA25,REPAIR CONNECTION,2019-11-28T00:00:00.000,2019-11-28T00:00:00.000,2012-01-16T17:53:28.000,2019-12-01T00:45:09.000
185046986,842085571,SA25,REPAIR CONNECTION,,,2014-06-09T17:08:11.000,2019-07-07T00:45:01.000
737629,822636,SA25,REPAIR CONNECTION,,2019-11-05T11:00:00.000,2008-02-06T10:23:48.000,2019-11-10T00:45:07.000
184831797,841794996,SSF,FLUSH SEWER SECTION,,2023-05-01T08:35:00.000,2013-05-01T08:27:56.000,2020-02-18T00:45:01.000
185082366,842108663,SA25,REPAIR CONNECTION,,,2014-07-28T09:24:36.000,2019-07-07T00:45:01.000
185840401,842993884,WA14B,REPLACE CUSTODIAN LOCK,2020-03-02T08:15:00.000,2020-03-02T09:00:00.000,2018-11-19T11:06:55.000,2020-03-07T00:45:02.000
1575554,842908773,SRB,REPAIR SEWER BREAK (CONTRACT.),,,2018-06-17T10:11:26.000,2020-11-20T00:45:02.000
185725945,842879393,SA25,REPAIR CONNECTION,2019-12-14T00:00:00.000,2019-12-14T00:00:00.000,2018-04-17T14:06:00.000,2019-12-16T00:46:28.000
1575554,843457767,SRB,REPAIR SEWER BREAK (CONTRACT.),,2020-11-19T14:30:00.000,2020-08-09T11:05:06.000,2020-11-20T00:45:02.000
184960100,841970994,WHF,FLUSH HYDRANTS IN AREA,2020-02-17T17:49:00.000,2020-02-17T17:49:00.000,2013-12-14T09:14:24.000,2020-02-18T00:45:01.000
1902780,1638697,WA10,RESET/REPLACE VALVE BOX,2019-10-29T11:00:00.000,2019-10-29T11:30:00.000,2012-06-05T08:59:24.000,2019-11-07T00:45:08.000
184963463,842001863,WHF,FLUSH HYDRANTS IN AREA,2020-02-17T17:52:00.000,2020-02-17T17:52:00.000,2014-01-24T12:14:50.000,2020-02-18T00:45:01.000
184970233,842001861,WHF,FLUSH HYDRANTS IN AREA,2020-02-17T17:51:00.000,2020-02-17T17:51:00.000,2014-01-24T12:09:05.000,2020-02-18T00:45:01.000
185732254,842880384,SA27,PERFORM OTHER MANHOLE WORK,2019-11-11T12:50:00.000,2019-11-11T14:00:00.000,2018-04-20T10:48:46.000,2019-11-25T00:45:07.000
185896166,843038006,SA26,REPLACE MANHOLE CASTING,2019-05-20T14:00:00.000,2019-05-20T14:00:00.000,2019-03-10T08:44:02.000,2019-05-29T00:45:03.000
185873571,842886828,WA10,RESET/REPLACE VALVE BOX,2018-08-19T03:00:00.000,,2018-04-22T12:20:37.000,2020-10-15T00:45:01.000
185604106,842734428,WA14A,INSTALL CUSTODIAN LOCK,,2019-05-11T11:00:00.000,2017-07-02T17:38:35.000,2019-05-12T00:45:09.000
185374727,842398115,SA26,REPLACE MANHOLE CASTING,2019-07-11T16:00:00.000,2019-07-11T20:30:00.000,2016-01-30T10:06:26.000,2019-07-27T00:45:11.000
185641231,842763911,SA26,REPLACE MANHOLE CASTING,2020-09-14T00:05:00.000,2020-09-14T02:35:00.000,2017-09-07T17:44:15.000,2020-09-16T00:45:03.000
185642170,842767215,SA26,REPLACE MANHOLE CASTING,2020-09-14T00:30:00.000,2020-09-14T00:30:00.000,2017-09-17T16:58:22.000,2020-09-16T00:45:03.000
1871038,1618472,WA12B,RELOCATE HYDRANT BY D.E.P,2019-11-10T12:00:00.000,2019-11-10T13:00:00.000,2012-04-28T10:13:35.000,2019-11-11T00:45:06.000
687966,758088,SA25,REPAIR CONNECTION,,,2007-10-06T12:23:07.000,2019-10-01T00:45:07.000
1077295,1052680,WA09,REPAIR VALVE- NOTE SIZE,2019-09-10T00:00:00.000,2019-09-10T00:00:00.000,2009-05-12T10:20:10.000,2019-09-11T00:45:08.000
278083,158700,WA10,RESET/REPLACE VALVE BOX,2019-09-15T15:04:00.000,2019-09-15T15:04:00.000,2005-03-19T07:13:25.000,2019-09-16T00:45:08.000
185363670,842392638,SA25,REPAIR CONNECTION,,,2016-01-18T14:47:13.000,2020-04-13T00:45:03.000
185786817,842935687,SA25,REPAIR CONNECTION,2020-04-15T11:15:00.000,2020-04-15T11:25:00.000,2018-07-22T11:22:36.000,2020-04-28T00:45:05.000
185529045,843454734,SCC,CLEAN CATCH BASIN/INLET,2020-06-30T08:30:00.000,2020-06-30T11:30:00.000,2020-08-01T20:16:49.000,2020-08-02T00:45:02.000
185135058,842164689,WHF,FLUSH HYDRANTS IN AREA,2020-02-17T17:54:00.000,2020-02-17T17:54:00.000,2014-10-28T10:34:28.000,2020-02-18T00:45:01.000
185898633,843076906,WA02,REPAIR HYDRANT-MAJOR,2019-05-20T08:00:00.000,2019-05-20T14:00:00.000,2019-05-16T10:34:01.000,2019-05-25T00:45:09.000
185236437,842352749,WA12I,APPLY HOT PATCH,2019-12-08T10:05:00.000,2020-12-08T10:20:00.000,2015-05-19T16:56:23.000,2020-02-03T00:45:02.000
185924988,843147718,SA12Z,SEWER OTHER REPAIR,,,2019-10-12T08:49:15.000,2019-12-18T00:45:02.000
185736403,843085144,WA12I,APPLY HOT PATCH,2019-07-17T10:30:00.000,2019-07-17T10:35:00.000,2018-05-16T15:49:12.000,2019-07-21T00:45:08.000
185535341,843454705,SCC,CLEAN CATCH BASIN/INLET,2020-07-01T09:25:00.000,2020-07-01T10:50:00.000,2020-08-01T18:24:28.000,2020-08-02T00:45:02.000
185900539,843040869,WA10,RESET/REPLACE VALVE BOX,,,2019-03-18T10:19:17.000,2021-09-15T00:45:15.000
1829273,1577629,SGS,GUNITE SEWER,,2020-09-03T11:14:00.000,2012-02-14T09:51:44.000,2020-09-04T00:45:04.000
185900425,843049541,WA04,REPAIR INOPERATIVE HYDRANT,2019-05-20T09:25:00.000,2019-05-20T10:10:00.000,2019-04-09T10:12:14.000,2019-05-28T00:45:08.000
185730229,843073003,SCC,CLEAN CATCH BASIN/INLET,2019-05-02T10:10:00.000,2019-05-02T11:05:00.000,2019-05-06T14:07:36.000,2019-05-07T00:45:07.000
185734380,842883076,SA24,REPAIR BASIN-MAJOR,,2019-05-02T10:39:00.000,2018-04-25T09:50:55.000,2019-05-03T00:45:11.000
185633451,843079466,SRL,LINE SEWER (CONTRACTOR),,,2019-05-20T09:05:17.000,2019-07-02T00:45:13.000
185633451,843079470,SRL,LINE SEWER (CONTRACTOR),,,2019-05-20T09:09:18.000,2019-07-02T00:45:13.000
185073840,842101351,SA26,REPLACE MANHOLE CASTING,2020-03-01T16:00:00.000,2020-03-01T19:30:00.000,2014-07-10T15:11:30.000,2020-03-05T00:45:02.000
184916933,841889576,WA10,RESET/REPLACE VALVE BOX,2013-09-21T21:00:00.000,2021-07-24T07:00:00.000,2013-09-10T10:36:30.000,2021-07-25T00:45:02.000
1573059,1513720,SRB,REPAIR SEWER BREAK (CONTRACT.),2019-09-01T00:00:00.000,2019-09-01T00:00:00.000,2011-10-14T18:38:36.000,2019-09-02T00:45:08.000
185740959,842891376,SA23,REPAIR BASIN-MINOR,2019-05-02T16:15:00.000,2019-05-02T17:15:00.000,2018-05-08T15:11:52.000,2019-05-05T00:45:08.000
184959640,843007118,SRL,LINE SEWER (CONTRACTOR),2019-05-19T00:00:00.000,2019-06-29T00:00:00.000,2018-12-22T13:31:26.000,2019-07-10T00:45:08.000
185108060,842724005,SPLATE,Install Steel Plate,2020-02-18T09:55:00.000,2020-02-18T10:05:00.000,2014-09-05T10:30:24.000,2020-03-01T00:45:01.000
185121491,842142916,SA26,REPLACE MANHOLE CASTING,2020-03-06T01:00:00.000,2020-03-06T01:00:00.000,2014-09-26T22:38:01.000,2020-04-15T00:45:04.000
185362066,842385822,SA26,REPLACE MANHOLE CASTING,2019-08-13T18:30:00.000,2019-08-13T18:30:00.000,2016-01-05T10:49:37.000,2019-08-24T00:45:39.000
786636,846906,SA25,REPAIR CONNECTION,,,2008-04-10T14:52:54.000,2019-10-01T00:45:07.000
185753111,842899596,SA27,PERFORM OTHER MANHOLE WORK,2020-01-19T07:50:00.000,2020-01-19T08:00:00.000,2018-05-28T09:10:25.000,2020-02-12T00:45:02.000
1745138,1520329,SA25,REPAIR CONNECTION,2014-06-15T00:00:00.000,2019-12-01T00:00:00.000,2011-10-25T17:32:31.000,2019-12-02T00:45:09.000
185395701,842442770,SA26,REPLACE MANHOLE CASTING,9999-03-07T08:30:00.000,2020-03-07T11:00:00.000,2016-04-02T10:34:29.000,2020-04-15T00:45:04.000
185869375,843019155,WA10,RESET/REPLACE VALVE BOX,2019-06-20T11:15:00.000,2019-06-20T12:15:00.000,2019-01-25T10:25:59.000,2019-06-22T00:45:09.000
185406229,842453314,WA10,RESET/REPLACE VALVE BOX,2020-02-02T16:00:00.000,2020-02-02T19:00:00.000,2016-04-25T14:04:44.000,2020-02-05T00:45:02.000
185827327,842978809,WA12A,RESTORE CEMENT AROUND HYDRANT,2019-12-31T17:00:00.000,2019-12-31T19:00:00.000,2018-10-15T11:37:05.000,2020-01-06T00:45:01.000
185902687,843075276,WA04,REPAIR INOPERATIVE HYDRANT,2019-05-19T09:35:00.000,2019-05-20T10:30:00.000,2019-05-13T08:39:09.000,2019-05-31T00:45:08.000
185899419,843040285,WA10,RESET/REPLACE VALVE BOX,,,2019-03-17T08:57:01.000,2019-05-27T00:45:08.000
185877336,843251840,SCC,CLEAN CATCH BASIN/INLET,2019-03-08T08:30:00.000,2020-03-08T09:45:00.000,2020-04-11T21:58:10.000,2020-04-12T00:45:02.000
185809462,843204490,SRB,REPAIR SEWER BREAK (CONTRACT.),2020-02-17T07:00:00.000,2020-02-25T15:00:00.000,2020-01-29T09:00:41.000,2020-03-02T00:45:03.000
185839652,843075852,WA12A,RESTORE CEMENT AROUND HYDRANT,,,2018-11-19T10:35:28.000,2019-05-15T00:45:08.000
186001025,843497426,SRB,REPAIR SEWER BREAK (CONTRACT.),,,2020-10-14T11:16:44.000,2021-08-08T00:45:02.000
185837981,842987632,WA12F,APPLY COLD PATCH,2019-05-11T06:00:00.000,2019-05-11T06:30:00.000,2018-11-03T17:14:04.000,2019-05-12T00:45:09.000
185849012,843038259,SRB,REPAIR SEWER BREAK (CONTRACT.),2020-02-29T07:00:00.000,2020-03-17T15:00:00.000,2019-03-10T15:07:16.000,2020-04-27T00:45:01.000
1748784,1518793,SA25,REPAIR CONNECTION,,,2011-10-23T19:28:11.000,2019-11-10T00:45:07.000
185926711,843077268,WA06A,SHUT TAP/WET CON. /NON-COMP.,2019-05-29T08:00:00.000,2019-05-29T13:00:00.000,2019-05-18T07:37:21.000,2019-06-02T00:45:08.000
185595794,842733412,SA25,REPAIR CONNECTION,,,2017-06-30T14:49:18.000,2019-11-10T00:45:07.000
185670238,842795951,SA26,REPLACE MANHOLE CASTING,2019-07-11T01:00:00.000,2019-07-11T01:10:00.000,2017-11-25T08:06:35.000,2019-07-14T00:46:02.000
185599276,842752220,SA25,REPAIR CONNECTION,,,2017-08-06T10:09:57.000,2019-11-10T00:45:07.000
185728288,842877752,WA12I,APPLY HOT PATCH,2019-07-14T13:00:00.000,2019-07-14T13:30:00.000,2018-04-11T00:03:22.000,2019-07-16T00:45:12.000
185807441,843145368,WA12I,APPLY HOT PATCH,2020-05-19T11:20:00.000,2020-05-19T11:45:00.000,2018-08-29T08:39:50.000,2020-05-24T00:45:02.000
185821732,843085146,WA12I,APPLY HOT PATCH,2019-07-17T10:40:00.000,2019-07-17T11:05:00.000,2018-09-30T08:08:52.000,2019-07-21T00:45:08.000
185737790,843010807,SRB,REPAIR SEWER BREAK (CONTRACT.),2019-06-26T07:00:00.000,2019-07-24T15:00:00.000,2019-01-06T07:58:16.000,2019-08-04T00:45:09.000
185674706,842825078,SA23,REPAIR BASIN-MINOR,2019-07-11T01:15:00.000,2019-07-11T02:50:00.000,2018-01-03T12:19:40.000,2019-08-10T00:45:08.000
185818219,843108333,CCTV,CLOSE CIRCUIT TV,,,2019-07-20T09:41:01.000,2019-07-21T00:45:08.000
185653025,843040342,SRB,REPAIR SEWER BREAK (CONTRACT.),2019-07-24T07:00:00.000,2019-08-13T15:00:00.000,2019-03-17T10:33:46.000,2019-09-23T00:45:07.000
1047116,1038862,SA25,REPAIR CONNECTION,,,2009-04-19T14:22:41.000,2019-10-01T00:45:07.000
1059664,1054581,SA25,REPAIR CONNECTION,,,2009-05-18T13:55:09.000,2019-10-01T00:45:07.000
1088352,1060372,SA25,REPAIR CONNECTION,,,2009-06-02T15:20:21.000,2019-10-01T00:45:07.000
1401968,1274263,SA25,REPAIR CONNECTION,,,2010-08-17T08:00:02.000,2020-04-16T00:45:03.000
186058671,843219920,SCC,CLEAN CATCH BASIN/INLET,2020-01-09T08:55:00.000,2020-01-09T09:45:00.000,2020-02-19T12:01:08.000,2020-02-20T00:45:01.000
185393372,842437073,SA26,REPLACE MANHOLE CASTING,2020-03-07T11:15:00.000,2020-03-07T13:30:00.000,2016-03-22T08:28:15.000,2020-04-15T00:45:04.000
185679684,842819953,SA26,REPLACE MANHOLE CASTING,,,2017-12-22T19:59:15.000,2019-07-12T00:45:56.000
